num processes,multi-tile strategy,single-image strategy,tiles x,tiles y,width,height,transparent,interlacing,collection,max image split,frame,render time,buffer read time,buffer write time,compress time,blend time,draw time,composite time,collect time,bytes sent,frame time,Intrepid Mode
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,34,0.011272,0,0,0.000137,0.000106,0.039444,0.02818,0.022045,332966200,0.039982,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,35,0.013061,0,0,0.000137,9.6e-05,0.034361,0.021308,0.014976,342118936,0.034898,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,36,0.009892,0,0,0.000134,8.8e-05,0.035286,0.025403,0.019116,357609312,0.035823,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,37,0.013366,0,0,0.000136,0.000103,0.043159,0.029801,0.023288,376919960,0.043698,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,38,0.008691,0,0,0.000132,0.000127,0.040387,0.031705,0.025752,302026928,0.040926,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,39,0.008291,0,0,0.000133,0.000156,0.028333,0.02005,0.014099,289020928,0.028872,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,40,0.01054,0,0,0.000135,0.000127,0.029321,0.01879,0.01254,342825272,0.029858,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,41,0.008798,0,0,0.000131,4.6e-05,0.040487,0.031698,0.025649,289090912,0.041024,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,42,0.007987,0,0,0.000131,0.000139,0.02861,0.020631,0.014696,292247232,0.029149,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,43,0.010432,0,0,0.000135,0.000135,0.029395,0.018971,0.01263,335594856,0.029933,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,44,0.010485,0,0,0.000135,0.000128,0.038441,0.027964,0.021896,345263688,0.038979,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,45,0.012242,0,0,0.000136,0.00015,0.040408,0.028174,0.021973,364817720,0.040945,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,46,0.012382,0,0,0.000135,0.000173,0.036139,0.023764,0.017539,358962936,0.036676,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,47,0.010042,0,0,0.00013,0.00015,0.02897,0.018936,0.012729,337437560,0.029508,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,48,0.012675,0,0,0.000139,0.000148,0.042776,0.030108,0.023895,352983552,0.043315,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,49,0.012636,0,0,0.000135,0.000113,0.037762,0.025136,0.018559,382182784,0.0383,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,50,0.01191,0,0,0.000137,8.9e-05,0.046547,0.034646,0.028537,328977128,0.047084,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,51,0.009843,0,0,0.000135,9.6e-05,0.028519,0.018684,0.012466,346149568,0.029057,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,52,0.008258,0,0,0.00013,0.000141,0.037438,0.029187,0.02332,325426024,0.037975,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,53,0.009838,0,0,0.000135,0.000123,0.030153,0.020324,0.014172,334041616,0.030691,SMP
4096,Sequential,radix-k 2,1,1,1024,1024,yes,yes,yes,512,54,0.007353,0,0,0.00013,0.000148,0.032418,0.025073,0.019199,262994520,0.032954,SMP
